,Disease,Symptoms
9,Lupus and other Connective Tissue diseases,"Cold fingers or toes.
Areas of skin that turn white then blue. Depending on your skin color, these color changes may be harder or easier to see.
Numb, prickly feeling or stinging pain upon warming or stress relief.
During an attack of Raynaud's, affected areas of the skin usually first turn pale. Next, they often change color and feel cold and numb. When the skin warms and blood flow improves, the affected areas may change color again, throb, tingle or swell.Raynaud's most commonly affects fingers and toes. But it also can affect other areas of the body, such as nose, lips, ears and even nipples. After warming up, the return of blood flow to the area can take 15 minutes.See your health care provider right away if you have a history of severe Raynaud's and get a sore or infection in one of your affected fingers or toes.Experts don't fully understand the cause of Raynaud's attacks. But blood vessels in the hands and feet appear to react too strongly to cold temperatures or stress.With Raynaud's, arteries to the fingers and toes narrow when exposed to cold or stress. The narrowed arteries limit blood flow. Over time, these small arteries can thicken slightly and limit blood flow even more.
"
8,Lupus and other Connective Tissue diseases,"
Persistent abdominal pain, which may radiate to your back
Nausea and vomiting
Weight loss
Feeling full soon after you start eating
"
7,Lupus and other Connective Tissue diseases,"Signs and symptoms of morphea vary depending on the type and stage of the condition. They include:
Reddish or purplish oval patches of skin, often on the belly, chest or back
Patches that gradually develop a lighter or whitish center
Linear patches, especially on the arms or legs and possibly the forehead or scalp
A gradual change in the affected skin, which becomes firm, thickened, dry and shiny
Morphea affects the skin and underlying tissue and sometimes bone. The condition generally lasts several years and then improves or at times disappears by itself. It may leave scars or areas of darkened or discolored skin. It is possible for morphea to recur.See your doctor if you notice reddish patches of hardening or thickening skin. Early diagnosis and treatment may help slow the development of new patches and allow your doctor to identify and treat complications before they worsen.The cause of morphea is unknown. It may be caused by an unusual reaction of your immune system. In people at increased risk of morphea, it could be triggered by injury to the affected area, medications, chemical toxins, an infection or radiation therapy.The condition isn't contagious.Certain factors may affect your risk of developing morphea, including:
Being white and female. Morphea is most common in white females.
Age. The condition can affect people at any age. It usually appears between the ages of 2 and 14 or in the mid-40s.
A family history of morphea. This condition can run in families. People with morphea are more likely to have a family history of morphea and other autoimmune diseases.
Morphea can cause a number of complications, including:
Self-esteem issues. Morphea can have a negative effect on your self-esteem and body image, particularly if discolored patches of skin appear on your arms, legs or face.
Movement problems. Morphea that affects the arms or legs can impair joint mobility.
Widespread areas of hardened, discolored skin. Numerous new patches of hardened, discolored skin may seem to join together, a condition known as generalized morphea.
Loss of hair and sweat glands. Over time, you may lose hair and sweat glands in the affected area.
Eye damage. Children with head and neck morphea may experience unnoticeable but permanent eye damage.


"
6,Lupus and other Connective Tissue diseases,"Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on your knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis.
Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen.
"
5,Lupus and other Connective Tissue diseases,"Joint pain.
Stiffness (especially when waking up in the morning).
Fatigue (feeling extremely tired all the time).
Unexplained weight loss.
"
4,Lupus and other Connective Tissue diseases,"Itch and/or burning pain
Localised swelling
Blanchable red/purple discolouration."
101,Lupus and other Connective Tissue diseases,"purple-red rashes in the shape of the heliotrope flower. Muscle weakness normally follows. scaly, dry, or rough skin
Gottrons papules or Gottrons sign (bumps found over the knuckles, elbows, and knees, often with a raised, scaly breakout)
trouble rising from a seated position
fatigue
weakness in the neck, hip, back, and shoulder muscles
difficulty swallowing
hoarseness in the voice
hardened lumps of calcium under the skin
muscle pain
joint inflammation
nail-bed abnormalities
weight loss
irregular heartbeat
gastrointestinal ulcers"
189,Lupus and other Connective Tissue diseases,"Cold fingers or toes.
Areas of skin that turn white then blue. Depending on your skin color, these color changes may be harder or easier to see.
Numb, prickly feeling or stinging pain upon warming or stress relief.
During an attack of Raynaud's, affected areas of the skin usually first turn pale. Next, they often change color and feel cold and numb. When the skin warms and blood flow improves, the affected areas may change color again, throb, tingle or swell.

Raynaud's most commonly affects fingers and toes. But it also can affect other areas of the body, such as nose, lips, ears and even nipples. After warming up, the return of blood flow to the area can take 15 minutes.

"
122,Lupus and other Connective Tissue diseases,"NA
Calcinosis
CREST causes thickening and tightening of the skin with deposition of calcific nodules (""calcinosis"").

Raynaud's phenomenon
Raynaud's phenomenon is frequently the first manifestation of CREST/lcSSc, preceding other symptoms by years. Stress and cold temperature induce an exaggerated vasoconstriction of the small arteries, arterioles, and thermoregulatory vessels of the skin of the digits. Clinically this manifests as a white-blue-red transition in skin color. Underlying this transition is pallor and cyanosis of the digits, followed by a reactive hyperemia as they rewarm. When extreme and frequent, this phenomenon can lead to digital ulcerations, gangrene, or amputation. Ulceration can predispose to chronic infections of the involved site.

Esophageal dysmotility
Presents as a sensation of food getting stuck (dysphagia) in the mid- or lower esophagus, atypical chest pain, or cough. People often state they must drink liquids to swallow solid food. This motility problem results from atrophy of the gastrointestinal tract wall smooth muscle. This change may occur with or without pathologic evidence of significant tissue fibrosis.

Sclerodactyly
Though it is the most easily recognizable manifestation, it is not prominent in all patients. Thickening generally only involves the skin of the fingers distal to the metacarpophalangeal joints in CREST. Early in the course of the disease, the skin may appear edematous and inflamed. Eventually, dermal fibroblasts overproduce extracellular matrix leading to increased tissue collagen deposition in the skin. Collagen cross-linking then causes a progressive skin tightening. Digital ischemic ulcers commonly form on the distal fingers in 3050% of patients.

Telangiectasias
Marked telangiectasias (dilated capillaries) occur on the skin of the face, the palmar surface of the hands, and the mucous membranes. Telangiectasias tend to be more numerous in people with other scleroderma related vascular disease (i.e., pulmonary arterial hypertension). The number of telangiectasias and the sites involved tend to increase over time.

Other
Other symptoms of CREST syndrome can be exhaustion, weakness, difficulties with breathing, pain in hands and feet, dizziness and badly healing wounds.

Patients with lcSSc commonly induce pulmonary artery hypertension which may result in cor pulmonale (heart failure due to increased pulmonary artery pressure)."
126,Lupus and other Connective Tissue diseases,"Papular mucinosis (also known as scleromyxedema,""generalized lichen myxedematosus"" and ""sclerodermoid lichen myxedematosus"") is a rare skin disease. Localized and disseminated cases are called papular mucinosis or lichen myxedematosus while generalized, confluent papular forms with sclerosis are called scleromyxedema. Frequently, all three forms are regarded as papular mucinosis. However, some authors restrict it to only mild cases. Another form, acral persistent papular mucinosis is regarded as a separate entity.
"
218,Lupus and other Connective Tissue diseases,"  The most common initial symptoms and signs of systemic sclerosis are Raynaud syndrome     Raynaud Syndrome  Raynaud syndrome is vasospasm of parts of the hand in response to cold or emotional stress, causing reversible discomfort and color changes (pallor, cyanosis, erythema, or a combination) in...  read more         and insidious swelling of the distal extremities with gradual thickening of the skin of the fingers. Polyarthralgia is also prominent. Gastrointestinal disturbances (eg, heartburn, dysphagia) or respiratory complaints (eg, dyspnea) are occasionally the first manifestations.     Skin and nail manifestations    Swelling of the skin is usually symmetric and progresses to induration. It may be confined to the fingers (sclerodactyly) and hands, or it may affect most or all of the body. The skin eventually becomes taut, shiny, and hypopigmented or hyperpigmented; the face becomes masklike; and telangiectases may appear on the fingers, chest, face, lips, and tongue. However, in some patients, skin can soften to variable degrees. Subcutaneous calcifications may develop, usually on the fingertips (pulps) and over bony eminences. Digital ulcers are common, especially on the fingertips, overlying the finger joints, or over calcinotic nodules. Abnormal capillary and microvascular loops in the nails can be seen with an ophthalmoscope or dissecting microscope.     Skin Manifestations of Systemic Sclerosis             Systemic Sclerosis of the Hand  This image shows late-stage shiny and thickened skin with effacement of normal markings secondary to tautness, called sclerodactyly.  By permission of the publisher. From Pandya A: Gastroenterology and Hepatology: Stomach and Duodenum. Edited by M Feldman. Philadelphia, Current Medicine, 1996.      Systemic Sclerosis of the Chest and Shoulders  In this image, bound-down taut skin throughout the chest also extends over the shoulders bilaterally, leading to a loss of range of movement of the shoulders.  By permission of the publisher. From Marder W, Lath V, Crofford L, Lowe L, McCune WJ: Atlas of Rheumatology. Edited by G Hunder. Philadelphia, Current Medicine, 2005.       Systemic Sclerosis of the Foot  In this photo, hardening and tightening of the skin has caused toes to curl in on themselves.  DR P. MARAZZI/SCIENCE PHOTO LIBRARY                            Joint manifestations     Polyarthralgias or mild arthritis can be prominent. Flexion contractures may develop in the fingers, wrists, and elbows. Friction rubs may develop over the joints, tendon sheaths, and large bursae.       Gastrointestinal manifestations    Esophageal dysfunction is the most frequent visceral disturbance and occurs in most patients. Dysphagia     Dysphagia  Dysphagia is difficulty swallowing. The condition results from impeded transport of liquids, solids, or both from the pharynx to the stomach. Dysphagia should not be confused with globus sensation...  read more      (usually retrosternal) usually develops first. Acid reflux can cause heartburn and stricture. Barrett esophagus occurs in one third of patients and predisposes to complications (eg, adenocarcinoma). Hypomotility of the small bowel causes bacterial overgrowth that can lead to malabsorption     Overview of Malabsorption  Malabsorption is inadequate assimilation of dietary substances due to defects in digestion, absorption, or transport. Malabsorption can affect macronutrients (eg, proteins, carbohydrates, fats)...  read more     . Air may penetrate the damaged bowel wall and be visible on x-rays (pneumatosis intestinalis). Leakage of bowel contents into the peritoneal cavity can cause peritonitis. Distinctive wide-mouthed pseudodiverticula can develop in the colon. Biliary cirrhosis may develop in patients with limited systemic sclerosis (CREST syndrome).       Cardiopulmonary manifestations    Lung involvement generally progresses indolently, with substantial individual variability, but is a common cause of death. Lung fibrosis and interstitial lung disease     Overview of Interstitial Lung Disease  Interstitial lung diseases are a heterogeneous group of disorders characterized by alveolar septal thickening, fibroblast proliferation, collagen deposition, and, if the process remains unchecked...  read more      are common and can impair gas exchange, leading to exertional dyspnea and restrictive disease with eventual respiratory failure. Acute alveolitis (potentially responsive to therapy) can develop. Esophageal dysfunction can lead to aspiration pneumonia. Pulmonary hypertension     Pulmonary Hypertension  Pulmonary hypertension is increased pressure in the pulmonary circulation. It has many secondary causes; some cases are idiopathic. In pulmonary hypertension, pulmonary vessels may become constricted...  read more      may develop, as can heart failure     Heart Failure (HF)  Heart failure (HF) is a syndrome of ventricular dysfunction. Left ventricular (LV) failure causes shortness of breath and fatigue, and right ventricular (RV) failure causes peripheral and abdominal...  read more        , both of which are poor prognostic findings. Pericarditis with effusion or pleurisy can occur. Cardiac arrhythmias are common.       Renal manifestations    Severe, often sudden onset renal disease (scleroderma renal crisis) may occur, most commonly in the first 4 to 5 years in patients who usually have diffuse scleroderma and the RNA polymerase III antibody. It is often heralded by sudden, severe hypertension with features of thrombotic microangiopathic hemolytic anemia. It can also occur without acute hypertension or in systemic sclerosis sine scleroderma, and therefore clinical suspicion is required to make the diagnosis. Corticosteroid use is a risk factor for development of scleroderma renal crisis.   "
378,Lupus and other Connective Tissue diseases,"The ""C"" stands for calcinosis, where calcium deposits form under the skin on the fingers or other areas of the body. The ""R"", stands for Raynaud's phenomenon, spasm of blood vessels in the fingers or toes in response to cold or stress. The ""E"" represents esophageal dysmotility, which can cause difficulty in swallowing. The ""S"" is for sclerodactyly, tightening of the skin causing the fingers to bend. Finally, the letter ""T"" is for telangiectasia, dilated vessels on the skin of the fingers, face, or inside of the mouth."
381,Lupus and other Connective Tissue diseases,"Exposure to the cold or strong emotions bring on the changes.First, the fingers, toes, ears, or nose become white, and then turn blue. Fingers are most commonly affected, but toes, ears or the nose can also change color.When blood flow returns, the area becomes red and then later returns to normal color.The attacks may last from minutes to hours.People with primary Raynaud phenomenon have problems in the same fingers on both sides. Most people do not have much pain. The skin of the arms or legs develops bluish blotches. This goes away when the skin is warmed up.People with secondary Raynaud phenomenon are more likely to have pain or tingling in the fingers. Painful ulcers may form on the affected fingers if the attacks are very bad."
382,Lupus and other Connective Tissue diseases,"Most of the time, RA affects joints on both sides of the body equally. Fingers, wrists, knees, feet, elbows, ankles, hips and shoulders are the most commonly affected.The disease often begins slowly. Early symptoms may include:Minor joint painStiffnessFatigue Joint symptoms may include:Morning stiffness, which lasts more than 1 hour, is common.Joints may feel warm, tender, and stiff when not used for an hour.Joint pain is often felt in the same joint on both sides of the body.Joints are often swollen.Over time, joints may lose their range of motion and may become deformed.Other symptoms include:Chest pain when taking a breath (pleurisy)Dry eyes and mouth (SjÃ¶gren syndrome)Eye burning, itching, and dischargeNodules under the skin (most often a sign of more severe disease)Numbness, tingling, or burning in the hands and feetSleep difficultiesThe diagnosis of RA is made when:You have pain and swelling in 3 or more joints.Arthritis has been present for longer than 6 weeks.You have a positive test for rheumatoid factor or anti-CCP antibody.You have elevated ESR or CRP.Other types of arthritis have been ruled out.Sometimes the diagnosis of RA is made even without all of the conditions shown above if the arthritis is otherwise typical for RA."
220,Lupus and other Connective Tissue diseases,"  Sensations of coldness, burning pain, paresthesias, or intermittent color changes of one or more digits are precipitated by exposure to cold, emotional stress, or vibration. All can be reversed by removing the stimulus. Rewarming the hands accelerates restoration of normal color and sensation. Color changes are clearly demarcated across the digit. They may be triphasic (pallor, followed by cyanosis and after warming by erythema due to reactive hyperemia), biphasic (cyanosis, erythema), or uniphasic (pallor or cyanosis only). Changes are often symmetric. Raynaud syndrome does not occur proximal to the metacarpophalangeal joints; it most commonly affects the middle 3 fingers and rarely affects the thumb. Vasospasm may last minutes to hours but is rarely severe enough to cause tissue loss in primary Raynaud syndrome. Raynaud syndrome secondary to a connective tissue disorder may progress to painful digital gangrene; Raynaud syndrome secondary to systemic sclerosis     Systemic Sclerosis  Systemic sclerosis is a rare chronic disease of unknown cause characterized by diffuse fibrosis and vascular abnormalities in the skin, joints, and internal organs (especially the esophagus...  read more         tends to cause extremely painful, infected ulcers on the fingertips.     Manifestations of Raynaud Syndrome             Raynaud Syndrome With Cyanosis  Multiple fingertips are cyanotic.  Â© Springer Science+Business Media      Raynaud Syndrome With Pallor  Pallor develops irregularly in the fingers.   Â© Springer Science+Business Media      Raynaud Syndrome With Digital Gangrene  Ulceration and gangrene affect the 2nd finger in this patient who had Raynaud syndrome secondary to systemic sclerosis.   Â© Springer Science+Business Media                     "
407,Lupus and other Connective Tissue diseases,"The main symptom of myositis is muscle weakness, which can start very gradually and cause you to trip or fall over a lot.You may also find it difficult to do things like:get up from a chairclimb stairslift objects, such as a cup of teacomb your hairThere are different types of myositis. Polymyositis and dermatomyositis are the most common.Depending on the type, other symptoms can include:painful or aching musclesfeeling very tiredweight lossnight sweatsa patchy, red rash, usually on the eyelids, face, neck and the backs of the hands â this can look different on brown or black skinproblems with swallowing (dysphagia) or breathing There may be times when your symptoms are better than at other times. "
408,Lupus and other Connective Tissue diseases,"Erythromelalgia usually affects the feet, but can also happen in the hands, arms, legs, ears and face.The main symptoms are:burning pain, which often starts as itchingredness â this can look different on brown or black skinwarm or hot skinOther symptoms include:swellingsweating more than normalThe pain can either be constant or come and go. When the pain comes, it might be called a flare-up. A flare-up can come on gradually or suddenly, and last anywhere from a few minutes to a few days.Your skin may feel cold after a flare-up and look blue or grey."
409,Lupus and other Connective Tissue diseases,"Plaque morphoea:

is most common in adults
causes 1 or more discoloured oval patches on the skin, which may be hairless and shiny
can appear anywhere on the body
Linear morphoea:

causes thickened skin in lines  mostly along the arms and legs of children, but also on the forehead and scalp
can affect underlying bone and muscle"
410,Lupus and other Connective Tissue diseases,"Symptoms of an allergic reaction can include:a runny nose or sneezingpain or tenderness around your cheeks, eyes or foreheadcoughing, wheezing or breathlessnessitchy skin or a raised rash (hives)diarrhoeafeeling or being sickswollen eyes, lips, mouth or throat"
380,Lupus and other Connective Tissue diseases,"episodes of pain, redness, and swelling
in various parts of the body, particularly the hands and feet. "
309,Lupus and other Connective Tissue diseases,"Acrocyanosis is a condition that causes your hands or feet (and sometimes other areas of your body) to turn a bluish, white or gray color. It occurs when an artery tightens for longer than it should (vasospasm), causing your blood vessels to narrow. As a result, your surrounding tissues receive less blood and oxygen and become discolored. Another name for acrocyanosis is peripheral cyanosis."
216,Lupus and other Connective Tissue diseases,"  Onset of autoimmune myositis may be acute (particularly in children) or insidious (particularly in adults). Polyarthralgias, Raynaud syndrome     Raynaud Syndrome  Raynaud syndrome is vasospasm of parts of the hand in response to cold or emotional stress, causing reversible discomfort and color changes (pallor, cyanosis, erythema, or a combination) in...  read more        , dysphagia     Dysphagia  Dysphagia is difficulty swallowing. The condition results from impeded transport of liquids, solids, or both from the pharynx to the stomach. Dysphagia should not be confused with globus sensation...  read more     , pulmonary symptoms (eg, cough, dyspnea), and constitutional complaints (notably fever, fatigue, and weight loss) may also occur. Severe disease is characterized by dysphagia, dysphonia, and/or diaphragmatic weakness. Muscle weakness may progress over weeks to months. However, it takes destruction of 50% of muscle fibers to cause symptomatic weakness (ie, muscle weakness indicates advanced myositis). Patients may have difficulty raising their arms above their shoulders, climbing steps, or rising from a sitting position. Sometimes muscle tenderness and atrophy develop. Patients may require the use of a wheelchair or become bedridden because of weakness of pelvic and shoulder girdle muscles. The flexors of the neck may be severely affected, causing an inability to raise the head from the pillow. Involvement of pharyngeal and upper esophageal muscles may impair swallowing and predispose to aspiration. Muscles of the hands, feet, and face are not involved except in inclusion body myositis, in which distal involvement, especially of the hands, is characteristic. Limb contractures rarely develop. Joint manifestations include polyarthralgia or polyarthritis with swelling and other characteristics of nondeforming arthritis. They occur more often in a subset with Jo-1 or other antisynthetase antibodies. Visceral involvement (except that of the pharynx and upper esophagus) is less common in autoimmune myositis than in some other rheumatic disorders (eg, systemic lupus erythematosus     Systemic Lupus Erythematosus (SLE)  Systemic lupus erythematosus is a chronic, multisystem, inflammatory disorder of autoimmune etiology, occurring predominantly in young women. Common manifestations may include arthralgias and...  read more        , systemic sclerosis     Systemic Sclerosis  Systemic sclerosis is a rare chronic disease of unknown cause characterized by diffuse fibrosis and vascular abnormalities in the skin, joints, and internal organs (especially the esophagus...  read more        ). Occasionally, and especially in patients with antisynthetase antibodies, interstitial lung disease     Overview of Interstitial Lung Disease  Interstitial lung diseases are a heterogeneous group of disorders characterized by alveolar septal thickening, fibroblast proliferation, collagen deposition, and, if the process remains unchecked...  read more      (manifested by dyspnea and cough) is the most prominent manifestation. Cardiac involvement, especially conduction disturbances and ventricular dysfunction, can occur. Gastrointestinal symptoms, more common among children, are due to an associated vasculitis and may include abdominal pain, hematemesis, melena, and ischemic bowel perforation. Skin changes, which occur in dermatomyositis, tend to be dusky and erythematous. Photosensitivity and skin ulceration are visible. Periorbital edema with a purplish appearance (heliotrope rash) is relatively specific for dermatomyositis. Elsewhere, the rash may be slightly elevated and smooth or scaly; it may appear on the forehead, V of the neck and shoulders, chest and back, forearms and lower legs, lateral thighs, elbows and knees, medial malleoli, and dorsal aspects of the proximal interphalangeal and metacarpophalangeal joints (Gottron papulesâa relatively specific finding). The base and sides of the fingernails may be hyperemic or thickened. Desquamating dermatitis with splitting of the skin may evolve over the radial aspects of the fingers. Subcutaneous and muscle calcification may occur, particularly in children. The primary skin lesions frequently fade completely but may be followed by secondary changes (eg, brownish pigmentation, atrophy, persistent neovascularization, scarring). Rash on the scalp may appear psoriaform and be intensely pruritic.  Characteristic skin changes can occur in the absence of muscle disease, in which case the disease is called amyopathic dermatomyositis.     Skin Changes in Dermatomyositis             Heliotrope Rash  This photo shows violaceous rash around the eyes and in the nasolabial folds and chin in a patient with dermatomyositis.  Â© Springer Science+Business Media      Gottron Papules  Gottron papules are scaly, erythematous to violaceous papules on extensor surfaces of proximal interphalangeal and metacarpophalangeal joints.  Â© Springer Science+Business Media      Dermatomyositis (Hand Findings)  This photo shows Gottron papules (on metacarpophalangeal joints), subcutaneous calcifications (on metacarpophalangeal, proximal interphalangeal, and distal interphalangeal joints), and periungual erythema and thickening.  Â© Springer Science+Business Media      Dermatomyositis (Neck)  This image shows dusky, erythematous skin changes resulting from dermatomyositis.  Image courtesy of Karen McKoy, MD.      Mechanic's Hands  This photo shows hyperkeratosis and fissuring of the fingers in a patient with antisynthetase syndrome.  Â© Springer Science+Business Media                           "
310,Lupus and other Connective Tissue diseases,"Scleroderma makes your body produce too much collagen, a protein that you need for healthy skin and tissue. Itâs an autoimmune condition, which means your immune system attacks your body instead of protecting it. Scleroderma can cause lots of symptoms and affect tissue throughout your body. It can also lead to life-threatening complications."
219,Lupus and other Connective Tissue diseases,"  Ovarian cancer may be asymptomatic. When symptoms are present, they are nonspecific (eg, dyspepsia, bloating, early satiety, change in bowel habits, urinary frequency). Later, pelvic pain, anemia, cachexia, and abdominal swelling due to ovarian enlargement or ascites usually occur. An adnexal mass, often solid, irregular, and fixed, may be discovered incidentally. Pelvic and rectovaginal examinations typically detect diffuse nodularity. Few women present with severe abdominal pain secondary to torsion of the ovarian mass     Adnexal Torsion  Adnexal torsion is twisting of the ovary and sometimes the fallopian tube, interrupting the arterial supply and causing ischemia. Symptoms include severe pelvic pain, often with nausea and vomiting...  read more     . Germ cell or stromal tumors that produce hormones may have functional effects (eg, hyperthyroidism, feminization, virilization). "
